Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 13, Chicago, Illinois",13-RC-022018,"Tractor Company d/b/a CCS Trucking",Closed,03/29/2011,02/28/2013,"Certific. of Representative",Chicago,IL,A,"Two Labor Organizations",Initial,11/18/2021,12,,"International Brotherhood of Teamsters Local Union No. 727",3,"Production Workers Local 707",3,,,,6,,,,,"All full-time and regular part-time truck drivers, warehousemen, shippers and receivers employed by the Employer at its facilities currently located at 3636 S. California Ave, Chicago, Illinois and 5448 W. 47th Forest View, Illinois; but excluding all other employees, office clerical employees and guards, professional employees and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RC-069379,"AMGLO Kemlite Laboratories",Closed,11/23/2011,06/07/2021,"Certification of Results",Bensenville,IL,A,"Single Labor Organization",Initial,05/25/2021,48,1,"Teamsters Local 743",13,,,,,30,43,,1,,,"Included: All full-time and regular part-time production employees working in glass pyrex, glass quartz, electrode, manual pumping, assembly, solder, AMG/Bravo assembly, shipping and quality control departments employed by the Employer at its facility currently located at 215 Gateway Drive, Bensenville, IL 60106.

Excluded: All office clerical employees, confidential employees, and professional employees, guards and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RC-022025,"Saint Xavier University",Closed,04/12/2011,09/29/2016,"Certific. of Representative",Chicago,IL,A,"Single Labor Organization",Initial,09/20/2016,122,2,"St. Xavier University Adjunct Faculty Organization, IEA-NEA",29,,,,,25,54,,3,,"St. Xavier University Adjunct Faculty Organization, IEA-NEA","Included:  All part-time faculty employed by the Employer at its campuses presently located at 3700 West 103rd Street, Chicago, Illinois and 18230 Orland Parkway, Orland Park, Illinois, who teach at least three credit hours per semester.

Excluded:  All part-time faculty while teaching coursework in the Pastoral Ministry Institute and members in the School of Nursing, all part-time faculty teaching in the Department of Religious Studies, all music tutors, all student supervisors in the School of Education, independent contractors, confidential employees and managers, office clerical employees and guards, professional employees and supervisors as defined in the Act.",,,
"Region 03, Buffalo, New York",03-RC-012019,"DPI Secuprint Inc.",Closed,04/07/2011,09/09/2015,"Certification of Results",Rochester,NY,A,"Single Labor Organization",Initial,08/31/2015,10,,"Graphic Communications Conference of the International Brotherhood of Teamsters, Local 503M",5,,,,,5,10,N,,N,,,,,
"Region 28, Phoenix, Arizona",28-RC-067973,"Portola Packaging, Inc.",Closed,11/01/2011,05/06/2015,"Certification of Results",Tolleson,AZ,A,"Single Labor Organization",Rerun,04/23/2015,47,,"United Food & Commercial Workers International Union, Local 99, AFL-CIO, CLC",15,,,,,32,47,,,,"United Food & Commercial Workers International Union, Local 99, AFL-CIO, CLC","INCLUDED:  All full-time and regular part-time production workers including machine operators, sanitation, and packaging employees employed by the Employer at its facility in Tolleson, Arizona.

EXCLUDED:  All other employees including maintenance mechanics, shipping and receiving employees, quality control employees, office clericals, managers, guards, and supervisors as defined in the Act.",,,
"Region 16, Fort Worth, Texas",16-RD-001614,"DISH NETWORK CORPORATION",Closed,07/29/2011,06/06/2014,"Certific. of Representative",Krum,TX,A,"Single Labor Organization",Initial,05/29/2014,24,,"COMMUNICATION WORKERS OF AMERICA, LOCAL 6171",13,,,,,8,21,,,,"COMMUNICATION WORKERS OF AMERICA, LOCAL 6171","Included: All regular full time technicians and warehouse employees employed at the Employers facility located at 1861 Vally View Lane, Suite 150, Farmers Branch, TX.

Excluded: All other employees including quality assurance employees, marketing and sales employees, commericial technicians, managers, office clerical, guards, and supervisors as defined in the Act.",,,
"Region 07, Detroit, Michigan",07-RC-023402,"Trinity Continuing Care Services d/b/a Sanctuary at McAuley",Closed,01/11/2011,08/09/2013,"Certific. of Representative",Muskegon,MI,A,"Single Labor Organization",Initial,08/01/2013,12,,"SEIU Healthcare Michigan, Service Employees International Union, CTW",9,,,,,2,11,,,,"SEIU Healthcare Michigan, Service Employees International Union, CTW","All full-time and regular part-time licensed practical nurses employed by the Employer at its facility located at 1380 E. Sherman Boulevard, Grand Rapids, Michigan; but excluding all management staff, confidential employees, registered nurses, clinical care coordinators, office clerical employees, and guards and supervisors as defined in the Act.",,,
"Region 07, Detroit, Michigan",07-RC-023403,"Trinity Continuing Care Services d/b/a Sanctuary at McAuley",Closed,01/11/2011,08/09/2013,"Certification of Results",Muskegon,MI,B,"Single Labor Organization",Initial,08/01/2013,4,,"SEIU Healthcare Michigan, Service Employees International Union, CTW",,,,,,4,4,,,,,,"All full-time and regular part-time registered nurses, including the MDS nurse, employed by the Employer at its facility located at 1380 E. Sherman Boulevard, Grand Rapids, Michigan; but excluding all management staff, confidential employees, licensed practical nurses, clinical care coordinators, office clerical employees, and guards and supervisors as defined in the Act.","All full-time and regular part-time registered nurses, including the MDS nurse, employed by the Employer at its facility located at 1380 E. Sherman Boulevard, Grand Rapids, Michigan; but excluding all management staff, confidential employees, licensed practical nurses, clinical care coordinators, office clerical employees, and guards and supervisors as defined in the Act.","All full-time and regular part-time registered nurses, including the MDS nurse, employed by the Employer at its facility located at 1380 E. Sherman Boulevard, Grand Rapids, Michigan; but excluding all management staff, confidential employees, licensed practical nurses, clinical care coordinators, office clerical employees, and guards and supervisors as defined in the Act."
"Region 15, New Orleans, Louisiana",26-RC-008635,"Ozburn-Hessey Logistics, LLC",Closed,06/14/2011,05/24/2013,"Certific. of Representative",Memphis,TN,A,"Single Labor Organization",Rerun,05/14/2013,358,,"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS",169,,,,,166,335,,,,"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS","Included: All full time custodians, customer service representatives, senior customer service representatives, cycle counters, inventory specialists, maintenance, maintenance techs, material handlers, operators 1, operators 2, operators 3, quality assurance coordinators, returns clerks, and team leads employed by the Employer at the Memphis, Tennessee facilities located at: 5510 East Holmes Road; 5540 East Holmes Road, 6265 Hickory Hill Road, 6225 Global Drive, 4221 Pilot Drive, and 5050 East Holmes Road.

Excluded: All other employers, including , office clerical and professional employees, guards, and supervisors as defined in the Act.",,,
"Region 15, New Orleans, Louisiana",26-RC-008635,"Ozburn-Hessey Logistics, LLC",Closed,06/14/2011,05/24/2013,"Certific. of Representative",Memphis,TN,B,"Single Labor Organization",,05/14/2013,6,,"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS",4,,,,,2,6,,,,"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS","Included: All full time custodians, customer service representatives, senior customer service representatives, cycle counters, inventory specialists, maintenance, maintenance techs, material handlers, operators 1, operators 2, operators 3, quality assurance coordinators, returns clerks, and team leads employed by the Employer at the Memphis, Tennessee facilities located at: 5510 East Holmes Road; 5540 East Holmes Road, 6265 Hickory Hill Road, 6225 Global Drive, 4221 Pilot Drive, and 5050 East Holmes Road.

Excluded: All other employers, including , office clerical and professional employees, guards, and supervisors as defined in the Act.",,,
"Region 29, Brooklyn, New York",29-RC-011999,"FJC Security Services, Inc., d/b/a Covenant Security and FJC Security",Closed,02/01/2011,04/08/2013,"Certification of Results",Jamaica,NY,A,"Two Labor Organizations",Initial,03/27/2013,403,,"Special and Superior Officers Benevolent Association",123,"LOCAL 971/550, NATIONAL SECURITY OFFICERS BENEVOLENT",7,,,133,263,,2,,,"Included:  All full-time and regular part-time unarmed uniform security guards employed by the Employer at the John F. Kennedy International Airport and LaGuardia Airport, in the borough of Queens, New York, pursuant to the Employer's contract with the Port Authority of New York and New Jersey, including the titles of airport security agent, lead airport security agent, central security station guards and identification officer specialists.  

Excluded:  All other employees, tour supervisors, office managers, assistant project managers, project managers, human resource managers and supervisors as defined in Section 2(11) of the Act.",,,
"Region 29, Brooklyn, New York",29-RC-011999,"FJC Security Services, Inc., d/b/a Covenant Security and FJC Security",Closed,02/01/2011,04/08/2013,"Certification of Results",Jamaica,NY,A,"Two Labor Organizations",Initial,03/22/2013,403,,"Special and Superior Officers Benevolent Association",123,"LOCAL 971/550, NATIONAL SECURITY OFFICERS BENEVOLENT",7,,,133,263,,4,Y,,"Included:  All full-time and regular part-time unarmed uniform security guards employed by the Employer at the John F. Kennedy International Airport and LaGuardia Airport, in the borough of Queens, New York, pursuant to the Employer's contract with the Port Authority of New York and New Jersey, including the titles of airport security agent, lead airport security agent, central security station guards and identification officer specialists.  

Excluded:  All other employees, tour supervisors, office managers, assistant project managers, project managers, human resource managers and supervisors as defined in Section 2(11) of the Act.",,,
"Region 22, Newark, New Jersey",22-RC-070888,"Aaron Medical Transportation, Inc.",Closed,12/14/2011,12/19/2013,"Certific. of Representative","Hasbrouck Heights",NJ,A,"Single Labor Organization",Rerun,03/22/2013,109,,"HUDSON COUNTY UNION LOCAL ONE AMALGAMATED",26,,,,,22,48,,1,,"HUDSON COUNTY UNION LOCAL ONE AMALGAMATED","All full-time and regular part-time Emergency Medical Technicians and coach drivers employed by the Employer at its Hasbrouck Heights, New Jersey facility, but excluding  all Office Clerical employees, Dispatchers, Managers, Guards and Supervisors as defined in the Act, and all other employees.",,,
"Region 18, Minneapolis, Minnesota",30-RD-001541,"Frito Lay",Closed,06/16/2011,03/29/2013,"Certific. of Representative","Menomonee Falls",WI,A,"Single Labor Organization",Rerun,03/21/2013,110,,"TEAMSTERS LOCAL 344, SALES & SERVICE INDUSTRY, AFFILIATED WITH THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS",51,,,,,47,98,,1,,"TEAMSTERS LOCAL 344, SALES & SERVICE INDUSTRY, AFFILIATED WITH THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS","Those eligible to vote are all warehouse employees, detailers, route sales representatives and merchandisers employed by the Employer at the distribution center in Menomonee Falls, Wisconsin but excluding office clerical employees, guards, technical employees, professional employees, managers and supervisors as defined in the Act as amended.",,,
"Region 22, Newark, New Jersey",22-RD-061101,"RP Baking LLC",Closed,07/11/2011,01/20/2012,"Withdrawal Non-adjusted",Harrison,NJ,A,"Single Labor Organization",Initial,03/01/2013,,,,,,,,,,,,,,,,,,
