cty,01001,AL: Autauga,1989,11,PRCP,     0.00,     0.00,     0.07,     0.00,     0.00,     0.00,    11.68,    19.78,    17.85,     0.00,     0.00,     0.00,     0.00,     1.65,     7.67,    15.87,     0.00,     0.00,     0.00,     0.00,     0.00,     1.80,    22.51,     0.00,     0.00,     0.00,     0.00,     0.29,     0.37,     0.00,  -999.99
cty,01003,AL: Baldwin County,1989,11,PRCP,     0.00,     4.71,     9.64,     0.00,     0.00,     0.00,    23.35,    89.30,    47.65,     0.00,     0.00,     0.00,     0.00,     2.21,    10.32,    25.02,     0.00,     0.01,     0.00,     0.00,     0.00,     1.25,    16.40,     0.00,     0.00,     0.00,     0.00,     1.09,    15.76,     0.00,  -999.99
cty,01005,AL: Barbour County,1989,11,PRCP,     0.00,     0.03,     4.29,     0.00,     0.00,     0.00,     6.84,    24.51,    72.21,     0.00,     0.00,     0.00,     0.00,     0.00,     5.46,    15.48,     0.00,     0.00,     0.00,     0.00,     0.00,     0.03,    15.85,     0.00,     0.03,     0.00,     0.00,     0.00,     6.81,     0.00,  -999.99
cty,01007,AL: Bibb County,1989,11,PRCP,     0.00,     0.00,     0.00,     0.00,     0.00,     1.75,    30.24,    15.66,    16.34,     0.00,     0.00,     0.00,     0.00,     4.41,    10.10,    16.29,     0.00,     0.00,     0.00,     0.00,     0.00,     1.73,    34.56,     0.00,     0.00,     0.00,     0.00,     2.53,     0.00,     0.00,  -999.99
cty,01009,AL: Blount County,1989,11,PRCP,     0.00,     0.00,     0.00,     0.00,     0.00,    12.91,    19.64,    11.82,     9.89,     0.00,     0.00,     0.00,     0.00,     4.17,    19.28,    26.09,     0.00,     0.00,     0.00,     0.00,     0.00,     1.91,    39.40,     0.00,     0.00,     0.00,     0.88,     4.44,     0.00,     0.00,  -999.99
cty,01011,AL: Bullock County,1989,11,PRCP,     0.00,     0.00,     3.87,     0.00,     0.00,     0.00,     8.78,    26.67,    51.83,     0.00,     0.00,     0.00,     0.00,     0.00,     5.28,    17.10,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,    17.67,     0.00,     0.00,     0.00,     0.00,     0.00,     5.47,     0.00,  -999.99
cty,01013,AL: Butler County,1989,11,PRCP,     0.00,     0.44,     3.44,     0.00,     0.00,     0.00,    10.20,    42.07,    40.45,     0.00,     0.00,     0.00,     0.00,     0.46,     7.75,    21.34,     0.01,     0.00,     0.00,     0.00,     0.00,     1.62,    18.52,     0.00,     0.00,     0.05,     0.00,     0.00,     5.54,     0.00,  -999.99
cty,01015,AL: Calhoun County,1989,11,PRCP,     0.00,     0.00,     0.00,     0.00,     0.00,     5.20,    22.11,    12.84,     9.15,     0.00,     0.00,     0.00,     0.00,     7.49,    19.76,    30.27,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,    37.55,     0.00,     0.00,     0.01,     0.38,     2.87,     1.12,     0.00,  -999.99
cty,01017,AL: Chambers County,1989,11,PRCP,     0.00,     0.00,     1.06,     0.00,     0.00,     0.00,     5.51,     6.69,    14.46,     0.00,     0.00,     0.00,     0.00,     0.59,     4.89,    14.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,    18.73,     0.00,     0.00,     0.00,     0.00,     0.41,     1.49,     0.00,  -999.99
cty,01019,AL: Cherokee County,1989,11,PRCP,     0.00,     0.00,     0.00,     0.00,     0.00,     7.69,    20.60,    15.05,     8.95,     0.00,     0.00,     0.00,     0.00,     4.75,    19.78,    35.77,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,    37.41,     0.00,     0.00,     0.00,     0.00,     3.19,     0.24,     0.00,  -999.99
cty,01021,AL: Chilton County,1989,11,PRCP,     0.00,     0.00,     0.00,     0.00,     0.00,     0.24,    19.71,    15.96,    15.26,     0.00,     0.00,     0.00,     0.00,     3.25,    10.12,    17.55,     0.00,     0.00,     0.00,     0.00,     0.00,     1.69,    30.03,     0.00,     0.00,     0.00,     0.00,     1.32,     0.00,     0.00,  -999.99
