"31-RC-159496","10685 Beech Avenue, Fontana, CA, ","Match","Exact","10685 BEECH AVE, FONTANA, CA, 92337","-117.47122178159,34.05944079103","144641848","L","06","071","002609","2013"
"31-RC-297139","901 Silver Spur Rd., Rolling Hills Estates, CA, 90274","Match","Exact","901 SILVER SPUR RD, ROLLING HILLS ESTATES, CA, 90274","-118.366560924253,33.770047475227","647621026","R","06","037","670417","1028"
"32-RC-109684","1601 Dixon Landing Rd., Milpitas, CA, ","Match","Exact","1601 DIXON LANDING RD, MILPITAS, CA, 95035","-121.926652413283,37.455132759758","637754729","R","06","001","441503","2044"
"31-RC-116764","21310 Norhoff Street, Chatsworth, CA, 91331","Match","Non_Exact","21310 NORDHOFF ST, CHATSWORTH, CA, 91311","-118.595497983053,34.235397848306","141532963","L","06","037","113234","1002"
"31-RC-139889","490 W. Foster Road, Santa Barbara, CA, 93110","No_Match"
"31-RC-331137","11959 Mariposa Rd., Apple Valley, CA, 92307","No_Match"
"31-RC-297138","2001 Pacific Coast Hwy., Lomita, CA, 90717","Match","Exact","2001 PACIFIC COAST HWY, LOMITA, CA, 90717","-118.314590318955,33.789573043991","655815982","R","06","037","670002","2011"
"29-RC-190281","31-00 47Th Ave., L.I.C., NY, 11101","No_Match"
"31-RC-104784","3355 E. Spring Street, Long Beach, CA, 90806","Match","Exact","3355 E SPRING ST, LONG BEACH, CA, 90806","-118.152880090427,33.810671187662","141818871","L","06","037","980018","1002"
"31-RC-159493","10685 Beech Avenue, Fontana, CA, ","Match","Exact","10685 BEECH AVE, FONTANA, CA, 92337","-117.47122178159,34.05944079103","144641848","L","06","071","002609","2013"
"31-RC-320008","1449 W. Redlands Blvd, Redlands, CA, 92373","Match","Exact","1449 W REDLANDS BLVD, REDLANDS, CA, 92373","-117.205500030872,34.062285704622","144663322","R","06","071","007800","3002"
"32-RC-319934","70 Hegenberger Road, Oakland, CA, 94621","Match","Exact","70 HEGENBERGER RD, OAKLAND, CA, 94621","-122.19961445033,37.730357548693","635916449","R","06","001","409000","3050"
"29-RC-122598","515 Blake Avenue, Brooklyn, NY, ","Match","Exact","515 BLAKE AVE, BROOKLYN, NY, 11207","-73.899914862212,40.667141850627","59084707","L","36","047","113400","1006"
"29-RC-138942","475 Seaview Avenue, Staten Island, NY, ","Match","Exact","475 SEAVIEW AVE, STATEN ISLAND, NY, 10305","-74.08643578576,40.583752169868","59887462","L","36","085","007002","3003"
"32-RC-249501","105 Sunshine Lane, Reno, NV, ","Match","Exact","105 SUNSHINE LN, RENO, NV, 89502","-119.788153572445,39.529259315313","107103771","R","32","031","002107","1007"
"32-RC-194714","2400 Keystone Pacific Parkway, In Patterson, CA, ","Match","Non_Exact","2400 KEYSTONE PACIFIC PKWY, PATTERSON, CA, 95363","-121.1648950195,37.4757571928","102647782","L","06","099","003300","2097"
"29-RC-157687","139 Flatbush Ave., Brooklyn, NY, ","Match","Exact","139 FLATBUSH AVE, BROOKLYN, NY, 11217","-73.977425085286,40.684128296853","59077630","L","36","047","003500","1003"
"29-RC-236135","1970 Pitkin Avenue, Brooklyn, NY, ","Match","Exact","1970 PITKIN AVE, BROOKLYN, NY, 11207","-73.899647869841,40.671275593788","59084689","R","36","047","114400","1018"
"31-RC-343592","1190 W Alameda Ave., Burbank, CA, 91506","Match","Exact","1190 W ALAMEDA AVE, BURBANK, CA, 91506","-118.314751379384,34.162632246846","241240112","L","06","037","311700","4000"
"32-RC-298922","2140 West Industrial Ave., Madera, CA, 93637","Match","Exact","2140 W INDUSTRIAL AVE, MADERA, CA, 93637","-120.086324422762,36.949896667424","636413650","R","06","039","000702","4020"
"29-RC-214327","181 3Rd Avenue, Brooklyn, NY, 11217","Match","Exact","181 3RD AVE, BROOKLYN, NY, 11217","-73.983677866999,40.680805730061","59075438","L","36","047","012700","2004"
"31-RC-289988","9857 Mason Avenue, Chatsworth, CA, 91311","Match","Exact","9857 MASON AVE, CHATSWORTH, CA, 91311","-118.579876553904,34.249271875052","141539810","L","06","037","113303","2003"
"32-RC-314255","259 Water Street, Watsonville, CA, ","No_Match"
"29-RC-332865","242 Butler Street, Brooklyn, NY, 11217","Match","Exact","242 BUTLER ST, BROOKLYN, NY, 11217","-73.985420653323,40.681477224036","59075435","R","36","047","012700","2003"
"32-RC-341408","1069 Grower Street, Salinas, CA, 93901","Match","Non_Exact","1069 GROWERS ST, SALINAS, CA, 93901","-121.631779025387,36.650505797708","196875381","L","06","053","014500","1035"
"28-RC-219119","3655 South Las Vegas Blvd., Las Vegas, NV, 89109","Match","Non_Exact","3655 LAS VEGAS BLVD S, LAS VEGAS, NV, 89109","-115.172910303745,36.111325979567","639403573","L","32","003","006700","1018"
"31-RC-313728","10250 Santa Monica Blvd., Los Angeles, CA, 90067","Match","Exact","10250 SANTA MONICA BLVD, LOS ANGELES, CA, 90067","-118.419837123475,34.060015485275","642861987","L","06","037","267901","1005"
"32-RC-290175","101 Pittsburg Ave., Richmond, CA, ","No_Match"
